INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
140-04 248 STREET,QUEENS,13 QUEENS,Precinct 105,31,4135970038,12/15/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/03/2015,1058113,180973
1405 DORIS STREET,BRONX,10 BRONX,Precinct 45,18,2039640073,12/20/2014,Closed,Cleaning crew dispatched. No graffiti on property.,07/14/2015,1026044,243629
6902 RIDGE BOULEVARD,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058700037,12/17/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/12/2015,976284,171160
371 SOUTH    5 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024500029,12/29/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/28/2015,997014,197178
79 WESTCHESTER SQUARE,BRONX,10 BRONX,Precinct 45,13,2040710002,12/17/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/21/2015,1027925,245616
3775 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,12,2046510052,12/10/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/15/2015,1022129,261089
1128 GUN HILL ROAD,BRONX,12 BRONX,Precinct 47,12,2046150036,12/10/2014,Closed,Cleaning crew dispatched.  Owner refused.,04/15/2015,1024550,257550
2929 ATLANTIC AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039520042,12/11/2014,Open,Site downloaded for cleaning,,1015802,186138
2493 Richmond Road,STATEN ISLAND,Unspecified STATEN ISLAND,Unspecified,,,12/06/2014,Open,Property Research Required,,,
 319 119 ST,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,12/20/2014,Open,Property Research Required,,,
1229 east 169th st,BRONX,Unspecified BRONX,Unspecified,,,12/04/2014,Open,Property Research Required,,,
803 coneyisland av,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,12/17/2014,Open,Further research is necessary to identify an owner for the property.,,,
1370A CASTLE HILL AVENUE,BRONX,10 BRONX,Precinct 45,18,2039630018,12/20/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/14/2015,1025212,243629
415 CONCORD AVENUE,BRONX,01 BRONX,Precinct 40,08,2025780021,12/01/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/27/2015,1009332,234260
723 WESTCHESTER AVENUE,BRONX,01 BRONX,Precinct 40,17,2026450043,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2015,1010281,237155
289 SCHOLES STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030380001,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/15/2015,1001837,197752
180 AVENUE B,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004057502,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/09/2015,989977,204386
5807 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008550006,12/30/2014,Closed,Cleaning crew dispatched. No graffiti on property.,06/04/2015,979438,173129
1259 ST JOHNS PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3013760054,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/26/2015,1001739,183717
2313 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2039690008,12/20/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/22/2015,1026359,243835
35-50 34 STREET,QUEENS,01 QUEENS,Precinct 114,26,4006060045,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/19/2015,1004545,214798
8214 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060060042,12/17/2014,Closed,Cleaning crew dispatched.  Owner refused.,04/28/2015,975936,167422
401 EAST  145 STREET,BRONX,01 BRONX,Precinct 40,08,2022900001,12/05/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/17/2015,1006508,235665
87-06 108 STREET,QUEENS,09 QUEENS,Precinct 102,32,4092970087,12/26/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/01/2015,1028769,192581
1336 CONEY ISLAND AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065230027,12/30/2014,Closed,Cleaning crew dispatched. No graffiti on property.,03/19/2015,993887,167092
5818 SIXTH AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008560043,12/11/2014,Closed,Cleaning crew dispatched. No graffiti on property.,06/04/2015,980657,172134
1518 EASTERN PARKWAY,BROOKLYN,16 BROOKLYN,Precinct 73,41,3014710072,12/19/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/28/2015,1006993,183485
251-11 57 AVENUE,QUEENS,11 QUEENS,Precinct 111,23,4083400066,12/15/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/11/2015,1059381,216835
2403 BUTLER PLACE,BRONX,10 BRONX,Precinct 45,18,2038460035,12/20/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/07/2015,1026935,244048
146-05 HILLSIDE AVENUE,QUEENS,08 QUEENS,Precinct 107,24,4097020073,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/05/2015,1036809,196383
853 40 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,38,3009160050,12/14/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/10/2015,985158,174642
224-08 77 AVENUE,QUEENS,11 QUEENS,Precinct 111,23,4078400015,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/09/2015,1053967,208448
2142 WHITE PLAINS ROAD,BRONX,11 BRONX,Precinct 49,13,2043180001,12/04/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/22/2015,1020855,250758
318 MCKIBBIN STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030920001,12/30/2014,Closed,Cleaning crew dispatched.  Owner refused.,04/17/2015,1002314,196543
1246 EAST GUN HILL ROAD,BRONX,11 BRONX,Precinct 49,12,2046180025,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/15/2015,1025484,257160
481 49 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007740046,12/12/2014,Open,Site downloaded for cleaning,,981380,174647
617 62 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057930064,12/08/2014,Open,Site downloaded for cleaning,,980209,171232
106 GRAND AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3018920065,12/11/2014,Open,Site downloaded for cleaning,,994176,192243
213-23 JAMAICA AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4106030028,12/15/2014,Open,Site downloaded for cleaning,,1055087,200325
563 62 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057920043,12/12/2014,Open,Site downloaded for cleaning,,979799,171558
701 brighton 7th street,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,12/30/2014,Open,Property Research Required,,,
432 coneyisland av,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,12/23/2014,Open,Further research is necessary to identify an owner for the property.,,,
1416 OGDEN AVENUE,BRONX,04 BRONX,Precinct 44,16,2025220065,12/02/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/01/2015,1005318,246348
140 7 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009960005,12/01/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,07/20/2015,986479,184690
48-16 BROADWAY,QUEENS,01 QUEENS,Precinct 114,26,4007340038,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/19/2015,1008492,214687
388 EAST  149 STREET,BRONX,01 BRONX,Precinct 40,17,2023270054,12/16/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,04/17/2015,1006878,236657
5602 FIFTH AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008390038,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/02/2015,980387,173050
4187 PARK AVENUE,BRONX,06 BRONX,Precinct 48,15,2029000072,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/01/2015,1011940,247881
26 NEVINS STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33,3001610053,12/15/2014,Closed,Cleaning crew dispatched. No graffiti on property.,07/23/2015,989434,189971
252 FOUNTAIN AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3042280036,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/29/2015,1018914,184829
3168 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041370026,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/21/2015,1018030,187746
1052 6 AVENUE,MANHATTAN,05 MANHATTAN,Precinct 14,04,1008410091,12/24/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/20/2015,988350,213730
4518 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007500045,12/12/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/12/2015,983982,173818
4088 PARK AVENUE,BRONX,06 BRONX,Precinct 48,15,2029070023,12/10/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/18/2015,1011718,247056
902 56 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,38,3056870006,12/08/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/17/2015,982965,171057
4808 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007760039,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/07/2015,982897,173705
5411 6 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008250006,12/09/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/05/2015,981318,172958
851 40 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,38,,12/14/2014,Closed,10-90Y - Unnecessary,12/14/2014,985149,174649
773 LYDIG AVENUE,BRONX,11 BRONX,Precinct 49,13,2043200058,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2015,1021609,250607
706 EAST  215 STREET,BRONX,12 BRONX,Precinct 47,12,2046620006,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/14/2015,1021908,260051
703 EAST  223 STREET,BRONX,12 BRONX,Precinct 47,12,2048370041,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/15/2015,1022650,262235
4218 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,11,2049970062,12/03/2014,Closed,Cleaning crew dispatched. No graffiti on property.,03/23/2015,1023770,265002
 351 119 ST,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,12/20/2014,Open,Property Research Required,,,
6 6 STREET,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,12/01/2014,Open,Property Research Required,,,
70 GRAND AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3018920044,12/10/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/11/2015,994134,192520
1196 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3051860022,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/07/2015,996380,172870
600 EAST FORDHAM ROAD,BRONX,06 BRONX,Precinct 48,15,2030780013,12/04/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/28/2015,1016056,252028
898 EAST  180 STREET,BRONX,06 BRONX,Precinct 48,17,2031220046,12/05/2014,Closed,Cleaning crew dispatched.  Owner refused.,04/28/2015,1016809,247125
4803 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38,3007780009,12/22/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/23/2015,983520,173225
8306 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060180042,12/20/2014,Closed,Cleaning crew dispatched. No graffiti on property.,07/17/2015,977278,166418
1 WORTH STREET,MANHATTAN,01 MANHATTAN,Precinct 1,01,1001790011,12/15/2014,Closed,Cleaning crew dispatched. No graffiti on property.,07/15/2015,981846,200930
377 EAST  169 STREET,BRONX,04 BRONX,Precinct 44,16,2027820068,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,06/01/2015,1009118,243275
507 LOGAN STREET,BROOKLYN,05 BROOKLYN,Precinct 75,42,3042280045,12/09/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/29/2015,1018665,184779
613 SUTTER AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3037530036,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/29/2015,1013007,183106
1374 ZEREGA AVENUE,BRONX,10 BRONX,Precinct 45,18,2038460001,12/20/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/22/2015,1026805,244071
6302 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3058090035,12/12/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/15/2015,979244,171606
70 MACDOUGAL STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1005260084,12/08/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/14/2015,983709,204599
3326 FORT INDEPENDENCE STREET,BRONX,08 BRONX,Precinct 50,11,2032580042,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/05/2015,1012079,259426
655 EAST  187 STREET,BRONX,06 BRONX,Precinct 48,15,2030750029,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/28/2015,1015790,250719
431 AVENUE U,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071060036,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/06/2015,993099,156981
471 FIFTH AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010170004,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/27/2015,987824,182714
313 20 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008860079,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/23/2015,987005,179823
48-19 DITMARS BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,4007600064,12/02/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/28/2015,1011716,219524
4812 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007760040,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/07/2015,982892,173699
4168 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,12,2048450042,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/15/2015,1023563,264506
84-48 MANTON STREET,QUEENS,08 QUEENS,Precinct 107,24,4096510061,12/15/2014,Open,Site downloaded for cleaning,,1034640,197879
856 64 STREET,BROOKLYN,10 BROOKLYN,Precinct 68,38,3057420027,12/12/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/03/2015,981279,169712
1145 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041820001,12/10/2014,Closed,Cleaning crew dispatched. No graffiti on property.,07/21/2015,1021104,186573
321 EAST   61 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,05,,12/20/2014,Closed,Cleaning crew dispatched.  Owner refused.,05/27/2015,994714,216664
36-48 34 STREET,QUEENS,01 QUEENS,Precinct 114,26,4006020052,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/19/2015,1004180,214204
4123 3 AVENUE,BRONX,06 BRONX,Precinct 48,15,2029230031,12/04/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/28/2015,1012695,247031
228 PROSPECT PARK WEST,BROOKLYN,07 BROOKLYN,Precinct 72,39,3011130042,12/12/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/22/2015,989519,179606
7105 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058910009,12/01/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/20/2015,976813,170216
95 MORGAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3030750026,12/17/2014,Closed,Cleaning crew dispatched. No graffiti on property.,07/20/2015,1003067,196919
261 BROOME STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004130043,12/01/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/13/2015,986905,200927
920 SARATOGA AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,42,3036070005,12/26/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/28/2015,1007958,178972
6903 4 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058730012,12/20/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/14/2015,977709,170433
8506 4 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060340041,12/31/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/12/2015,976447,166409
653 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050420004,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/08/2015,995270,178813
3340 FT INDEPENDENCE STREET,BRONX,08 BRONX,Precinct 50,11,2032580050,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/05/2015,1012024,259521
107-59 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 103,28,4101320023,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/30/2015,1039882,191825
212-61 JAMAICA AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4106020029,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/09/2015,1054865,200257
428 AVENUE U,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071300005,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/06/2015,993062,156970
250-18 HILLSIDE AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4086040092,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/06/2015,1062626,207336
7218 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059090045,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2015,978192,169348
486 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053520006,12/11/2014,Closed,Cleaning crew dispatched. No graffiti on property.,03/26/2015,989981,173276
1416 CORTELYOU ROAD,BROOKLYN,14 BROOKLYN,Precinct 70,40,3051570008,12/17/2014,Closed,Cleaning crew dispatched. No graffiti on property.,03/26/2015,993945,172783
440 EAST  155 STREET,BRONX,01 BRONX,Precinct 40,17,2023760175,12/04/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/26/2015,1007859,237983
710 61 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057940012,12/15/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,05/11/2015,980952,170967
4916 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007850042,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/07/2015,982726,173489
33 SAINT PAULS PLACE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050590010,12/17/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/06/2015,994330,177177
4102 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007180039,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/06/2015,982186,176608
139-11 SPRINGFIELD BOULEVARD,QUEENS,13 QUEENS,Precinct 105,31,4130370006,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/06/2015,1051875,184622
974 EAST GUNHILL ROAD,BRONX,12 BRONX,Precinct 47,12,2046360036,12/04/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/14/2015,1023327,258062
2916 WHITE PLAINS ROAD,BRONX,11 BRONX,Precinct 49,15,2045460007,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,06/03/2015,1020965,255625
4127 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,12,2048330011,12/10/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/07/2015,1023388,264103
2369 ADAM CLAYTON POWELL BOULEVARD,MANHATTAN,10 MANHATTAN,Precinct 32,09,1020070002,12/17/2014,Open,Site downloaded for cleaning,,1000294,237145
62 WEST FORDHAM ROAD,BRONX,07 BRONX,Precinct 52,14,2032120072,12/11/2014,Open,Site downloaded for cleaning,,1010867,253608
777 PROSPECT AVENUE,BRONX,01 BRONX,Precinct 40,17,2026760073,12/16/2014,Open,Site downloaded for cleaning,,1011283,237306
83-15 ROCKAWAY BOULEVARD,QUEENS,09 QUEENS,Precinct 102,32,4090160015,12/01/2014,Open,Site downloaded for cleaning,,1023875,188453
945 graham av,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,12/03/2014,Open,Further research is necessary to identify an owner for the property.,,,
4170 PARK AVENUE,BRONX,06 BRONX,Precinct 48,15,2029090001,12/10/2014,Closed,Cleaning crew dispatched.  Owner refused.,05/18/2015,1011987,247689
420 39 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007090012,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2015,982733,176889
2331 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2039690001,12/20/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/14/2015,1026413,243896
831 EAGLE AVENUE,BRONX,01 BRONX,Precinct 40,17,2026190027,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,06/15/2015,1009483,238483
3053 ATLANTIC AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039570049,12/09/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/22/2015,1016972,186573
2409 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2039730042,12/20/2014,Closed,Cleaning crew dispatched.  Owner refused.,05/21/2015,1026846,244371
1990 WEBSTER AVENUE,BRONX,06 BRONX,Precinct 48,15,2030280010,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/07/2015,1012007,248921
98 8 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,03,1007640072,12/17/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/14/2015,983662,208983
48-04 30 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4007390044,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,06/04/2015,1009624,216467
112 TOMPKINS AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017550042,12/20/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/07/2015,999135,192641
3505 DECATUR AVENUE,BRONX,07 BRONX,Precinct 52,11,2033560164,12/10/2014,Closed,Cleaning crew dispatched. No graffiti on property.,04/16/2015,1019524,259552
37-15 BROADWAY,QUEENS,01 QUEENS,Precinct 114,22,4006570003,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/14/2015,1006304,216043
420 U AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071300002,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/02/2015,992996,156960
102-05 159 AVENUE,QUEENS,10 QUEENS,Precinct 106,32,4141720064,12/28/2014,Closed,Cleaning crew dispatched. No graffiti on property.,03/30/2015,1031062,179930
591 FIFTH AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,39,3010530007,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/27/2015,986982,181401
6906 13 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3061550041,12/07/2014,Closed,Cleaning crew dispatched. No graffiti on property.,03/27/2015,983136,166471
650 FIFTH AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006340047,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/24/2015,986421,180664
323 43 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007230067,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/01/2015,981532,176519
4800 BEDFORD AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3087847501,12/29/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/27/2015,999877,152251
1349 HOE AVENUE,BRONX,03 BRONX,Precinct 42,17,2029800033,12/28/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/26/2015,1014579,242083
189 5 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009530009,12/30/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/04/2015,989765,185890
190 JEFFERSON STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031730020,12/01/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/13/2015,1003926,194848
116-02 107 AVENUE,QUEENS,10 QUEENS,Precinct 106,28,4095960001,12/04/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/26/2015,1032610,188413
2525 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,13,2039800138,12/17/2014,Closed,Cleaning crew dispatched. No graffiti on property.,03/24/2015,1027468,245057
CHURCH AVENUE & MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,,12/17/2014,Closed,10-90Y - Unnecessary,12/17/2014,989955,173465
1371 HERSCHELL STREET,BRONX,10 BRONX,Precinct 45,18,2038460017,12/20/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/21/2015,1027062,244347
1827 HOBART AVENUE,BRONX,10 BRONX,Precinct 45,13,2041940047,12/15/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/19/2015,1030877,248294
31 ESSEX STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1003100030,12/05/2014,Open,Site downloaded for cleaning,,987132,200085
 321 119 ST,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,12/20/2014,Open,Property Research Required,,,
 Van Kleeck St,QUEENS,Unspecified QUEENS,Unspecified,,,12/10/2014,Open,Property Research Required,,,
4242 PARK AVENUE,BRONX,06 BRONX,Precinct 48,15,2030340018,12/10/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/18/2015,1012278,248373
2101 CHURCH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050820055,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/07/2015,995408,176181
421 MEEKER AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33,3027240034,12/01/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2015,999120,201271
333 EAST  149 STREET,BRONX,01 BRONX,Precinct 40,17,2023310051,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2015,1006285,236863
163-05 HILLSIDE AVENUE,QUEENS,08 QUEENS,Precinct 107,24,4097710027,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/26/2015,1039922,197554
113 FRANKLIN STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3025570024,12/29/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/16/2015,995995,205232
693 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050480008,12/11/2014,Closed,Cleaning crew dispatched.  Owner refused.,07/17/2015,995352,178346
945 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041570068,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/20/2015,1019042,186181
54 SPRING STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,1004810019,12/04/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/15/2015,985164,202364
240 EAST    4 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003990030,12/16/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/15/2015,988979,202848
94-40 210 STREET,QUEENS,13 QUEENS,Precinct 105,23,4105420103,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/04/2015,1053341,199982
106-35 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 103,28,4100890007,12/15/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/30/2015,1039164,192349
