INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
1097 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041800001,12/02/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/21/2015,1020660,186489
100 WEST  114 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1018230036,12/17/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/20/2015,997820,231055
86-49 125 STREET,QUEENS,09 QUEENS,Precinct 102,29,4092790093,12/16/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/19/2015,1032534,195038
5501 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008320008,12/10/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/13/2015,980556,173254
425 AVENUE U,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071060039,12/31/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/12/2015,993054,156975
1975 DAVIDSON AVENUE,BRONX,05 BRONX,Precinct 46,14,2028700061,12/04/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/05/2015,1009186,249820
2774 3 AVENUE,BRONX,01 BRONX,Precinct 40,08,2023070038,12/05/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/17/2015,1006436,236166
775 49 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007770044,12/03/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/07/2015,983188,173214
63-54 FRESH POND ROAD,QUEENS,05 QUEENS,Precinct 104,30,4035240064,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/31/2015,1012086,198236
8218 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3060080048,12/25/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2015,977353,166661
651 20 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,39,3052650011,12/12/2014,Closed,Cleaning crew dispatched. No graffiti on property.,05/01/2015,989988,177222
884 55 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,38,3056790041,12/08/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/17/2015,982868,171466
323 EAST  119 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,08,1017960114,12/28/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/13/2015,1002073,230247
314 52 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008060012,12/15/2014,Closed,Cleaning crew dispatched.  Owner refused.,05/11/2015,980049,174698
950 KENT AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,33,3019250042,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/23/2015,995665,191318
3235 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,15,2045950038,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,06/15/2015,1020993,257048
3421 WHITE PLAINS ROAD,BRONX,12 BRONX,Precinct 47,12,2046280057,12/11/2014,Closed,Cleaning crew dispatched.  Property cleaned.,03/23/2015,1021025,258408
4095 PARK AVENUE,BRONX,06 BRONX,Precinct 48,15,2028990053,12/10/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/01/2015,1011637,247163
106 NEW LOTS AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,42,3038620001,12/24/2014,Closed,Cleaning crew dispatched.  Cannot locate property.,05/29/2015,1011593,179057
1250 CASTLE HILL AVENUE,BRONX,09 BRONX,Precinct 43,18,2038230088,12/20/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/22/2015,1025367,242976
1574 TOWNSEND AVENUE,BRONX,04 BRONX,Precinct 44,14,2028450034,12/23/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/14/2015,1008013,246635
530 MORGAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3028180001,12/01/2014,Closed,Cleaning crew dispatched.  Property cleaned.,04/30/2015,1001224,202431
37-11 58 STREET,QUEENS,02 QUEENS,Precinct 108,26,4012130045,12/09/2014,Closed,Cleaning crew dispatched. No graffiti on property.,03/25/2015,1010710,212450
1337 PROSPECT AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,39,3052850001,12/12/2014,Closed,Cleaning crew dispatched.  Property cleaned.,05/01/2015,991009,176332
2357 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2039700006,12/20/2014,Closed,Cleaning crew dispatched.  Property cleaned.,07/14/2015,1026558,244056
